,,Внеоборотные активы,Внеоборотные активы,Внеоборотные активы,Выручка,Выручка,Выручка,Дебиторская задолженность,Дебиторская задолженность,Дебиторская задолженность,Долгосрочные обязательства,Долгосрочные обязательства,Долгосрочные обязательства,Заёмные средства (долгосрочные),Заёмные средства (долгосрочные),Заёмные средства (долгосрочные),Заёмные средства (краткосрочные),Заёмные средства (краткосрочные),Заёмные средства (краткосрочные),Капитал и резервы,Капитал и резервы,Капитал и резервы,Краткосрочные обязательства,Краткосрочные обязательства,Краткосрочные обязательства,Кредиторская задолженность,Кредиторская задолженность,Кредиторская задолженность,Нематериальные активы,Нематериальные активы,Нематериальные активы,Оборотные активы,Оборотные активы,Оборотные активы,Основные средства,Основные средства,Основные средства,Прибыль (убыток) до налогообложения,Прибыль (убыток) до налогообложения,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи,Прибыль (убыток) от продажи,Прибыль (убыток) от продажи,Себестоимость продаж,Себестоимость продаж,Себестоимость продаж,Уставный капитал,Уставный капитал,Уставный капитал,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ
",,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Итого,Статус,""Макс., дней"",""Сред., дней"",""Кол-во просрочек свыше 5-ти дней, шт."",""Общая сумма, руб."",""Кол-во раз, шт."",1-30,31-90,91-365,более 365,""Оценка потенциала контрагента 1, руб."",""Оценка потенциала контрагента 2, руб."""
,Наименование ДП,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0,1928685350.318471,1880842038.21656,2440077707.006369,26676980254.77707,41626929936.30573,37039522292.99363,3583765605.095541,3683358598.726114,3475461146.496815,249877707.0063694,258973248.4076433,271221019.1082802,0.0,0.0,0.0,0.0,0.0,392391719.7452229,2673019745.22293,2971017197.452229,2289273885.350318,4165168152.866242,4548177707.00637,5957030573.248407,4080056050.955414,4452921656.050955,5476906369.426751,2895541.401273885,6245859.872611465,9050955.414012738,5159380254.77707,5897326114.649681,6077447770.700637,1889724203.821656,1803724203.821656,2145239490.44586,3179696815.286624,6167666878.980891,746182802.5477706,3280355414.012739,6200119745.22293,871619108.2802547,21568144585.98726,33354425477.707,34383128662.42038,629400000.0,629400000.0,629400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,1,145678343.9490446,149798726.1146497,153892356.6878981,255489808.9171974,257366878.9808917,543430573.2484076,55847770.70063694,46782165.60509554,156347770.7006369,3108280.25477707,4528025.477707006,5033757.961783439,0.0,0.0,0.0,9745222.929936305,47606369.42675159,63498726.11464968,272664968.1528662,277408280.2547771,310658598.7261146,18820382.16560509,57761146.49681529,129663694.2675159,9075159.23566879,10154777.07006369,66164968.15286624,0.0,38853.50318471337,34394.90445859872,148915286.6242038,189898726.1146497,291463694.2675159,144810828.0254777,148715286.6242038,152642675.1592357,12123566.87898089,6944585.987261146,44800636.94267516,16300636.94267516,11091719.74522293,51357324.84076433,205681528.6624204,205532484.0764331,416979617.8343949,1345859.872611465,1345859.872611465,1345859.872611465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,2,973274522.2929935,1036412101.910828,1018682165.605096,2786577070.063694,2699396815.286624,2592420382.165605,281467515.9235669,232107006.3694268,228049681.5286624,13398089.17197452,11831210.1910828,2843949.044585987,0.0,0.0,0.0,0.0,0.0,0.0,2110424840.764331,2339440127.388535,2378698089.171975,136368789.8089172,174224203.821656,227356687.8980892,82468789.8089172,88571974.52229299,123771337.5796178,2468152.866242038,12880254.77707006,8694904.458598725,1286917197.452229,1489083439.490446,1590216560.509554,969806369.4267516,944416560.509554,928738853.5031848,502666242.0382165,364422929.9363057,85529936.30573247,414858598.7261146,161131847.1337579,-92989808.91719744,2038075796.178344,2178598089.171975,2316724203.821656,19644585.98726114,19644585.98726114,19644585.98726114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.5,1.0,132825.2993630573,2.0,,,,,,
2019,3,10978240127.38854,12799207643.3121,18201022292.99363,16895203821.65605,17789442675.15923,21657988535.03185,3047629936.305732,3525893630.573248,5362189808.917197,4772777707.00637,3555463057.324841,6928275796.178344,4107721656.050955,2786053503.184713,5998324840.764331,1230838216.560509,1463344585.987261,966515286.6242038,8408440127.388535,10550740127.38854,15085494904.4586,2639315286.624204,4090736305.732484,4117201273.88535,1214650955.414013,2390994267.515924,2522167515.923567,0.0,0.0,0.0,4842292993.630573,5397731847.133758,7929949681.528662,8874127388.535032,10609771337.57962,14264915923.56688,4100856687.898089,4481280891.719745,6840634394.904458,4903116560.509554,5186552866.242038,7869977070.063694,10141487898.08917,10635421019.10828,11713152229.29936,7951592.356687898,20382165.60509554,20382165.60509554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,4,111404193630.5732,104497008917.1974,100154213375.7962,47169338853.50318,66582429936.30573,86119098089.17197,4541816560.509554,4383371974.522293,11246701273.88535,63118373248.40764,97175324840.76431,92237910191.0828,62352467515.92356,95734443312.10191,90432717197.45222,35729452229.29936,6409564968.152866,13562033757.96178,14880383439.49045,5645400000.0,10544059872.61146,41634308917.19745,11072929936.30573,18144133757.96178,5608172611.464968,4287299363.057325,3855060509.55414,550318.4713375795,521019.1082802548,449044.5859872612,8228871974.522293,9396645859.872612,20771890445.85987,26331612101.91083,29385844585.98726,30089698726.11465,71639800636.94267,37998624203.82166,45936061783.43949,23389118471.33758,37279844585.98726,53075239490.44585,19501673248.40764,23400422292.99363,26525468789.80892,595541.4012738853,595541.4012738853,595541.4012738853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,2.0,,,,,,
2019,5,35844258598.72611,35880066242.03822,36543041401.27389,23884656050.95541,33614252866.24204,46379745859.87261,3929728662.420382,6912857324.840764,6165454777.070064,5941926751.592357,6070075796.178344,6026959872.611465,4990870700.636943,4283736305.732484,4142978980.89172,1403783439.490446,1240860509.55414,3446008280.254777,51540270700.63694,47398566878.98089,63850556050.95541,4466132484.076433,10155770700.63694,10780865605.09554,2898902547.7707,8729386624.203821,7086105732.484076,13649681.52866242,10221656.05095541,22117197.4522293,26104071337.57962,27744347133.75796,44115340127.38853,35452358598.72611,35819603821.65605,35873358598.72611,9990123566.87898,18731511464.96815,34894135031.84713,11493848407.64331,19628121656.05096,30425531847.13376,8572090445.859872,12485565605.09554,14396717834.3949,1983439.49044586,1983439.49044586,1983439.49044586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,6,47680943949.04459,41387948407.64331,42873052229.29936,50668677070.06369,59786529936.30573,75005711464.96815,5114849681.528663,6560424203.821656,10995872611.46497,46169423566.87898,48899433757.96178,60827592993.63057,45461484076.43312,48036178980.89172,59883778343.94904,1579972611.464968,10119656050.95541,711331210.1910827,6494964968.152866,2784839490.44586,1500636942.675159,14454738216.56051,14804852229.29936,6879279617.834394,12590846496.81529,4416149044.585987,5925311464.968153,589808.9171974522,539490.4458598726,489808.9171974522,19438182802.54777,25101177070.06369,26334457324.84076,10127901910.82803,11503770063.69427,11142412738.8535,22945890445.85987,11160377707.00637,12242540127.38854,10291078343.94904,13457445859.87261,20944695541.40127,36929883439.49045,42269070063.69427,49694920382.1656,2717197.452229299,2717197.452229299,2717197.452229299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,7,82024203.82165605,78015923.56687897,74730573.24840765,444920382.1656051,427414012.7388535,397070063.6942675,151794904.4585987,158761783.4394904,47075796.17834394,890445.8598726115,2000636.942675159,1170063.694267516,0.0,0.0,0.0,9554.140127388537,6384076.433121019,11165605.0955414,276844585.9872611,265335668.7898089,158047770.7006369,43390445.85987261,38563694.26751592,37847770.70063694,40801273.88535032,29595541.40127388,24449681.52866242,0.0,0.0,0.0,239101273.8853503,227884076.433121,122335031.8471338,35815923.56687898,30640127.38853503,31544585.98726114,35164331.21019108,10854140.12738854,8917834.394904459,40073885.35031847,17549681.52866242,16398726.11464968,382854140.1273885,392873885.3503184,366075796.178344,111464.9681528662,111464.9681528662,111464.9681528662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.366197183098592,5.0,2400857.694267516,71.0,,,,,,
